radius_km,window_days,treatment_col,mediator_col,n_cells,n_event_cells,total_effect,total_pval,direct_effect,direct_pval,indirect_diff,indirect_product,path_a,path_a_pval,path_b,path_b_pval,causal_r2,misspecified_flag
14,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,37920,7.912674679975026e-09,0.10549286415790428,9.1448607009017e-09,0.06764370924109812,-1.232186020926674e-09,-1.2321860209315515e-09,0.00013142363383535565,6.431707026972277e-07,-9.375680651740342e-06,0.18790486421372088,0.035239351081419734,False
14,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,37920,4.9903096124453945e-09,0.07341949316917623,5.498530812964855e-09,0.05471180905250275,-5.082212005194608e-10,-5.082212005083116e-10,6.066434763004539e-05,8.603357493417092e-05,-8.377592776693828e-06,0.22443683162991634,0.0354921022516832,False
14,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,37920,3.4223594261989367e-09,0.0320101472295894,3.6389943846535566e-09,0.025379695773002232,-2.166349584546199e-10,-2.1663495847794714e-10,2.9615790516026452e-05,0.0018578197805791765,-7.314846394551451e-06,0.3018689048958265,0.035672893721190424,False
15,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,41993,1.8874437850670157e-08,0.15991534361624404,1.74653049345919e-08,0.20180980082873423,1.4091329160782576e-09,1.4091329160517284e-09,0.00047139913088426063,7.61993927852264e-11,2.989256499918544e-06,0.7806030228025211,0.03714772925066112,False
15,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,41993,9.325360238101089e-09,0.07513117648827873,1.0540557327141082e-08,0.05015343865613478,-1.2151970890399938e-09,-1.2151970890430723e-09,0.00013160134611546194,6.315002723151111e-07,-9.23392598109829e-06,0.2164705717558223,0.03677196238626468,False
15,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,41993,5.817656177459176e-09,0.05062146416476702,6.342135041959731e-09,0.03834705026891243,-5.244788645005546e-10,-5.244788644878588e-10,6.080207598777818e-05,8.283211759164158e-05,-8.626002582432947e-06,0.22906889330686542,0.037035034211259976,False
15,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,41993,3.916013277546284e-09,0.02121958616363528,4.145983491295887e-09,0.01718655226064501,-2.2997021374960278e-10,-2.299702137848242e-10,2.969895706832155e-05,0.0017934562256537575,-7.743376754132636e-06,0.28683879235812415,0.037214722046507887,False
16,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,46080,2.4001095957724045e-08,0.10003256334829101,2.2422697136196897e-08,0.1346353738704859,1.5783988215271478e-09,1.5783988215456333e-09,0.0004714387683551146,7.865852291169309e-11,3.3480462946498564e-06,0.7689678080900587,0.038917350918756366,False
16,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,46080,1.1809985952980233e-08,0.03835853061774464,1.3072912096903503e-08,0.026002694112050303,-1.2629261439232697e-09,-1.262926143931889e-09,0.00013170941291657873,6.214591738446926e-07,-9.588731101032188e-06,0.22542082717308576,0.038515546511680765,False
16,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,46080,7.070545133507811e-09,0.02913867256380083,7.649004942881279e-09,0.022039401642080507,-5.78459809373468e-10,-5.784598093636627e-10,6.087874012227012e-05,8.109526129537307e-05,-9.501836079423985e-06,0.20689112424926293,0.03874778441030158,False
